Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
,1.0,5,2,4,257.0,287,Datasets Expert
"Bengaluru, Karnataka, India",,4,29,210,54.0,288,Datasets Expert
"El-Mahalla El-Kubra, Gharbia Governorate, Egypt",1.0,6,11,223,,247,Datasets Expert
"Dubai, Dubai, United Arab Emirates",3.0,11,26,248,232.0,295,Datasets Expert
"Bengaluru, Karnataka, India",,17,1,34,22.0,296,Datasets Master
"Stanford, California, United States",,25,18,3,11.0,290,Datasets Master
"Thiruvalla, Kerala, India",,8,3,14,216.0,291,Datasets Expert
"Bengaluru, Karnataka, India",30.0,16,45,228,132.0,292,Datasets Expert
"Coimbatore, Tamil Nadu, India",,9,11,286,231.0,293,Datasets Expert
"Kobe, Hyogo, Japan",23.0,8,14,76,190.0,298,Competitions Master
"Kraków, Lesser Poland Voivodeship, Poland",7.0,11,21,340,115.0,299,Competitions Master
"Kobe, Hyogo, Japan",57.0,24,"1,264",293,215.0,300,Datasets Expert
"Thiruvananthapuram, Kerala, India",3.0,5,15,136,111.0,301,Datasets Expert
"Lahore, Punjab, Pakistan",2.0,7,8,49,288.0,289,Datasets Expert
"Tel Aviv-Yafo, Tel Aviv District, Israel",15.0,9,35,179,41.0,310,Competitions Master
"Seattle, Washington, United States",,22,7,,12.0,303,Datasets Master
"Campina Grande, State of Paraíba, Brazil",35.0,37,58,"1,180",54.0,304,Notebooks Grandmaster
"Gaithersburg, Maryland, United States",34.0,27,39,"1,255",20.0,305,Competitions Grandmaster
,,7,5,16,81.0,306,Datasets Expert
"Santiago, Santiago Metropolitan Region, Chile",,4,4,6,185.0,307,Datasets Expert
"Seoul, Seoul, South Korea",20.0,4,3,127,12.0,311,Datasets Expert
"Visakhapatnam, Andhra Pradesh, India",6.0,9,21,125,151.0,314,Datasets Expert
"New Delhi, Delhi, India",,5,17,358,306.0,309,Datasets Expert
"Sacramento, California, United States",38.0,8,91,575,153.0,297,Notebooks Grandmaster
"Bengaluru, Karnataka, India",2.0,18,8,179,111.0,319,Datasets Expert
"Kyiv, Ukraine",4.0,9,30,134,273.0,312,Datasets Expert
"Colombo, Western Province, Sri Lanka",4.0,36,,186,217.0,313,Datasets Expert
"Raipur, Chhattisgarh, India",,3,5,24,280.0,315,Datasets Expert
"Quetta, Balochistan, Pakistan",1.0,16,6,3,307.0,316,Datasets Expert
"Patiala, Punjab, India",,10,9,165,252.0,317,Datasets Expert
"Peravali, Andhra Pradesh, India",,4,14,"1,420",306.0,308,Notebooks Master
,,6,2,8,316.0,320,Datasets Expert
"Los Angeles, California, United States",43.0,8,17,735,149.0,326,Discussion Grandmaster
"Islamabad, Islamabad Capital Territory, Pakistan",6.0,3,6,190,250.0,321,Datasets Expert
"Gurugram, Haryana, India",,5,10,352,40.0,318,Datasets Master
"Fortaleza, State of Ceará, Brazil",13.0,21,109,"1,516",40.0,322,Notebooks Master
"Islamabad, Islamabad Capital Territory, Pakistan",1.0,4,12,222,277.0,278,Datasets Expert
"Greater Noida, Uttar Pradesh, India",1.0,8,7,168,123.0,330,Datasets Expert
,5.0,5,2,8,288.0,323,Datasets Expert
"Bengaluru, Karnataka, India",,30,,,289.0,324,Datasets Expert
"Guangzhou, Guangdong Province, China",16.0,19,29,32,181.0,333,Datasets Expert
"Islamabad, Islamabad Capital Territory, Pakistan",,7,9,56,281.0,325,Datasets Expert
"Thrissur, Kerala, India",32.0,12,,29,50.0,328,Datasets Expert
"Feni, Chittagong Division, Bangladesh",20.0,6,35,312,282.0,336,Notebooks Master
"Kawasaki, Kanagawa, Japan",9.0,8,17,125,180.0,329,Datasets Expert
"London, England, United Kingdom",3.0,12,,7,195.0,331,Datasets Expert
"Bahawalpur, Punjab, Pakistan",,4,10,145,317.0,332,Datasets Expert
"Sohawa, Punjab, Pakistan",,7,8,319,269.0,334,Datasets Expert
"Howrah, West Bengal, India",6.0,8,15,96,294.0,339,Datasets Expert
"Lahore, Punjab, Pakistan",2.0,11,13,52,242.0,340,Datasets Expert
"Farrukhabad, Uttar Pradesh, India",2.0,9,10,5,306.0,343,Datasets Expert
"Pune, Maharashtra, India",3.0,6,12,103,328.0,344,Datasets Expert
"Liverpool, England, United Kingdom",4.0,8,22,85,202.0,348,Datasets Expert
"Hwaseong-si, Gyeonggi-do, South Korea",3.0,4,37,"2,409",148.0,350,Notebooks Grandmaster
"Surat, Gujarat, India",2.0,12,5,14,196.0,341,Datasets Expert
"Maroua, Far North, Cameroon",2.0,5,7,29,283.0,342,Datasets Expert
Muzaffarabad,,6,5,99,342.0,354,Datasets Expert
"Bengaluru, Karnataka, India",11.0,6,24,100,234.0,345,Datasets Expert
"Karachi, Sindh, Pakistan",4.0,7,25,165,29.0,327,Datasets Expert
,,9,72,483,208.0,347,Datasets Expert
"Guangzhou, Guangdong Province, China",53.0,22,132,346,172.0,349,Notebooks Master
"Chandigarh, Chandigarh, India",6.0,4,9,208,231.0,351,Datasets Expert
"Lahore, Punjab, Pakistan",5.0,13,11,33,,337,Datasets Expert
