Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Adwitiya Trivedi,1527,expert,https://www.kaggle.com/datastrophy,1,1,50,43,3 years ago
Artem,1528,expert,https://www.kaggle.com/kurazh,0,0,111,43,3 years ago
tom.,1529,expert,https://www.kaggle.com/blessontomjoseph,0,0,64,43,2 years ago
Abdul Manan Farani,1530,expert,https://www.kaggle.com/abdulmanankhalid,0,0,62,43,2 years ago
Megha Goriya,1531,expert,https://www.kaggle.com/meghagoriya,0,0,58,43,2 years ago
Nikunj Malpani,1532,expert,https://www.kaggle.com/nikunjmalpani,1,0,113,43,2 years ago
Levent Özdemir,1533,expert,https://www.kaggle.com/leventoz,1,1,89,43,a year ago
alireza sharifi,1534,expert,https://www.kaggle.com/azi192012,0,0,71,43,a year ago
Trent,1535,expert,https://www.kaggle.com/trentb,5,8,63,42,9 years ago
eagle4,1536,expert,https://www.kaggle.com/chabir,4,12,123,42,7 years ago
charlotteamy,1537,expert,https://www.kaggle.com/charlottetu,0,0,65,42,6 years ago
interneuron,1538,expert,https://www.kaggle.com/interneuron,7,14,233,42,5 years ago
Aviv Levi,1539,expert,https://www.kaggle.com/avivlevi815,3,3,55,42,4 years ago
Daniel Preciado,1540,expert,https://www.kaggle.com/jazivxt,4,5,74,42,4 years ago
Ken Krige,1541,expert,https://www.kaggle.com/kenkrige,1,6,107,42,4 years ago
Siavash,1542,expert,https://www.kaggle.com/siavrez,6,6,128,42,4 years ago
Zeynel,1543,expert,https://www.kaggle.com/zeynel7,0,0,117,42,4 years ago
Somesh Sharma,1544,expert,https://www.kaggle.com/somesh24,0,3,156,42,3 years ago
Siraz Naorem,1545,expert,https://www.kaggle.com/siraznaorem,1,7,155,42,3 years ago
crinoid,1546,expert,https://www.kaggle.com/takemi,1,1,57,42,3 years ago
Mohsin Raza,1547,expert,https://www.kaggle.com/razamh,0,3,114,42,3 years ago
Abhi,1548,expert,https://www.kaggle.com/akpmpr,1,2,71,42,3 years ago
Maneesh,1549,expert,https://www.kaggle.com/maneesh99,0,4,123,42,2 years ago
Shanmukh,1550,expert,https://www.kaggle.com/shanmukh05,0,1,109,42,2 years ago
Aakash Saroop,1551,expert,https://www.kaggle.com/aakashsaroop,0,0,66,42,2 years ago
raja-dv,1552,expert,https://www.kaggle.com/rajadv,0,0,104,42,2 years ago
Gaurav Lokhande,1553,expert,https://www.kaggle.com/gaurav126,0,0,58,42,2 years ago
Pranesh Rajendra Kumar,1554,expert,https://www.kaggle.com/praneshrajendrakumar,0,3,79,42,a year ago
kxx,1555,expert,https://www.kaggle.com/kailex,3,6,205,41,10 years ago
Zidmie,1556,expert,https://www.kaggle.com/zidmie,3,7,47,41,8 years ago
Ole Kröger,1557,expert,https://www.kaggle.com/wikunia,4,9,101,41,8 years ago
Shahnawaz Akhtar,1558,expert,https://www.kaggle.com/shahnawazakhtar,2,2,56,41,7 years ago
Urvish,1559,expert,https://www.kaggle.com/urvishp80,0,3,82,41,5 years ago
Andy Penrose,1560,expert,https://www.kaggle.com/andypenrose,3,6,77,41,5 years ago
Waylon Wu,1561,expert,https://www.kaggle.com/waylongo,10,4,59,41,5 years ago
Blesson Densil,1562,expert,https://www.kaggle.com/blessondensil294,4,3,90,41,5 years ago
Victor Geislinger,1563,expert,https://www.kaggle.com/mrgeislinger,0,2,87,41,5 years ago
Evgeniya Sukhodolskaya,1564,expert,https://www.kaggle.com/edsukhodolskaya,0,0,54,41,5 years ago
Lucas Schnack,1565,expert,https://www.kaggle.com/luji01,2,4,66,41,4 years ago
Pranit Bhujel,1566,expert,https://www.kaggle.com/pranitbhujel,1,5,172,41,4 years ago
Padhma Muniraj,1567,expert,https://www.kaggle.com/padhmam,0,2,81,41,4 years ago
Claudio Collado,1568,expert,https://www.kaggle.com/ccollado7,0,3,85,41,4 years ago
David Tang,1569,expert,https://www.kaggle.com/dcstang,5,6,199,41,3 years ago
Mohammad Reza Ghari,1570,expert,https://www.kaggle.com/rezaghari,5,3,124,41,3 years ago
Adeyinka Michael Sotunde,1571,expert,https://www.kaggle.com/adegladius,3,0,69,41,3 years ago
Mohammad Imran Shaikh,1572,expert,https://www.kaggle.com/shikhnu,1,1,118,41,3 years ago
Roman Weilguny,1573,expert,https://www.kaggle.com/romanweilguny,0,2,122,41,3 years ago
Sohail Ahmed,1574,expert,https://www.kaggle.com/sohailds,0,0,60,41,2 years ago
Parth Dhameliya,1575,expert,https://www.kaggle.com/parthdhameliya77,1,3,61,41,2 years ago
ayoub chaoui,1576,expert,https://www.kaggle.com/ayoubchaoui,0,0,66,41,2 years ago
Anisha,1577,expert,https://www.kaggle.com/neesha12,0,3,55,41,a year ago
arpan129,1578,expert,https://www.kaggle.com/arpan129,0,1,59,41,a year ago
Eugene J. Ryu,1579,expert,https://www.kaggle.com/eugeneryu,0,1,60,41,a year ago
Devin Anzelmo,1580,expert,https://www.kaggle.com/devinanzelmo,7,16,272,40,9 years ago
Ben Tesch,1581,expert,https://www.kaggle.com/btesch,2,7,85,40,7 years ago
Shai,1582,expert,https://www.kaggle.com/sgalib,2,6,75,40,6 years ago
Fozan,1583,expert,https://www.kaggle.com/fozantalat,0,0,54,40,6 years ago
Eric Bouteillon,1584,expert,https://www.kaggle.com/ebouteillon,6,13,69,40,5 years ago
Felipe Bivort Haiek,1585,expert,https://www.kaggle.com/felipebihaiek,1,5,63,40,5 years ago
Anshul Sharma,1586,expert,https://www.kaggle.com/anshuls235,2,0,176,40,5 years ago
Schubert de Abreu,1587,expert,https://www.kaggle.com/spitfire2nd,0,5,51,40,5 years ago
Carlos Domínguez,1588,expert,https://www.kaggle.com/carlosdg,1,3,141,40,5 years ago
Lucas See,1589,expert,https://www.kaggle.com/pinstripezebra,0,0,59,40,4 years ago
N. Peker Çelik,1590,expert,https://www.kaggle.com/nebipeker,0,0,65,40,4 years ago
Niharika Pandit,1591,expert,https://www.kaggle.com/niharika41298,0,0,211,40,4 years ago
TJ Klein,1592,expert,https://www.kaggle.com/teejmahal20,7,5,126,40,4 years ago
Brun,1593,expert,https://www.kaggle.com/brunhs,5,8,225,40,4 years ago
Slash,1594,expert,https://www.kaggle.com/shashwat1001,0,0,104,40,3 years ago
Francisco Escobar,1595,expert,https://www.kaggle.com/franciscoescobar,0,2,146,40,3 years ago
Rajkumar Sengottuvel,1596,expert,https://www.kaggle.com/rajsengo,0,2,77,40,3 years ago
Tuan Nguyen Van Anh,1597,expert,https://www.kaggle.com/tuannguyenvananh,0,0,86,40,3 years ago
Abdelrady .M,1598,expert,https://www.kaggle.com/abdelradymc,0,0,77,40,3 years ago
Devansh Chowdhury,1599,expert,https://www.kaggle.com/devanshchowdhury,0,0,54,40,3 years ago
Ankit Gupta,1600,expert,https://www.kaggle.com/nkitgupta,0,0,107,40,3 years ago
AndrewTGraham,1601,expert,https://www.kaggle.com/andrewtgraham,0,4,58,40,2 years ago
Umerkk12,1602,expert,https://www.kaggle.com/umerkk12,0,0,120,40,2 years ago
Gokul Prakash P,1603,expert,https://www.kaggle.com/gokulprakash22,1,1,136,40,2 years ago
Mumin,1604,expert,https://www.kaggle.com/muhmin,2,0,71,40,2 years ago
Masoud Ahmadzade Jahromi,1605,expert,https://www.kaggle.com/satvicoder,0,0,111,40,2 years ago
Kadir Duran,1606,expert,https://www.kaggle.com/kadirduran,0,0,77,40,a year ago
Subbu Vidyasekar,1607,expert,https://www.kaggle.com/subbuvolvosekar,2,4,91,39,8 years ago
Neronuser,1608,expert,https://www.kaggle.com/neronuser,1,1,50,39,8 years ago
Hide on bush,1609,expert,https://www.kaggle.com/shangweichen,0,3,74,39,5 years ago
Jean-Philippe MARY,1610,expert,https://www.kaggle.com/jpmary,1,5,71,39,5 years ago
Louka Ewington-Pitsos,1611,expert,https://www.kaggle.com/lewington,7,9,75,39,5 years ago
Naruke,1612,expert,https://www.kaggle.com/vishnu123,0,0,79,39,5 years ago
Arka Saha,1613,expert,https://www.kaggle.com/arka47,0,3,80,39,5 years ago
Satwik,1614,expert,https://www.kaggle.com/p4rallax,0,5,70,39,3 years ago
Lourens Walters,1615,expert,https://www.kaggle.com/lourenswalters,0,0,97,39,3 years ago
Aadhav Vignesh,1616,expert,https://www.kaggle.com/aadhavvignesh,0,7,121,39,3 years ago
Ranjeet shrivastav,1617,expert,https://www.kaggle.com/ranjeetshrivastav,0,0,91,39,3 years ago
Sean Hong,1618,expert,https://www.kaggle.com/hongsean,0,0,147,39,3 years ago
Data Warrior,1619,expert,https://www.kaggle.com/datawarriors,2,0,143,39,2 years ago
Andy Jian Zhou,1620,expert,https://www.kaggle.com/andyjianzhou,3,1,48,39,2 years ago
Abid Ali Awan,1621,expert,https://www.kaggle.com/kingabzpro,0,4,61,39,2 years ago
Rutuja Vaidya,1622,expert,https://www.kaggle.com/rutujavaidya,0,5,66,39,2 years ago
Lasal Jayawardena,1623,expert,https://www.kaggle.com/lasaljaywardena,0,1,62,39,2 years ago
Sanjeet Singh Naik,1624,expert,https://www.kaggle.com/sanjeetsinghnaik,0,1,57,39,a year ago
Le Chi Thinh,1625,expert,https://www.kaggle.com/lechithinh,0,0,75,39,a year ago
BHUWAN CHANDRA,1626,expert,https://www.kaggle.com/bhuwanchandra11,0,0,61,39,a year ago
Nikhil Bhati,1627,expert,https://www.kaggle.com/nikhilbhathi,0,0,62,39,a year ago
Aravind A S,1628,expert,https://www.kaggle.com/aravindas01,0,0,50,39,a year ago
Michael Jahrer,1629,expert,https://www.kaggle.com/mjahrer,22,38,112,38,12 years ago
Virilo Tejedor Aguilera,1630,expert,https://www.kaggle.com/virilo,3,2,59,38,8 years ago
Mycroft Holmes,1631,expert,https://www.kaggle.com/stocks,10,8,134,38,8 years ago
n01z3,1632,expert,https://www.kaggle.com/drn01z3,22,8,47,38,7 years ago
spongebob,1633,expert,https://www.kaggle.com/baomengjiao,15,13,84,38,6 years ago
Ashutosh Behera,1634,expert,https://www.kaggle.com/ashutosh3060,1,4,116,38,5 years ago
Saiyan Warrior,1635,expert,https://www.kaggle.com/saiyanwarrior,0,3,54,38,5 years ago
Adnan Zaidi,1636,expert,https://www.kaggle.com/adnanzaidi,2,5,81,38,5 years ago
ARMADA,1637,expert,https://www.kaggle.com/fadylabib,5,4,47,38,5 years ago
shyambhu Mukherjee,1638,expert,https://www.kaggle.com/shyambhu,0,2,104,38,4 years ago
fireflies,1639,expert,https://www.kaggle.com/firefliesqn,1,1,64,38,4 years ago
0x4RY4N,1640,expert,https://www.kaggle.com/aryankhatana,1,5,84,38,3 years ago
ASHISH GOYAL,1641,expert,https://www.kaggle.com/goyalashish,0,2,50,38,3 years ago
Paramartha Sengupta,1642,expert,https://www.kaggle.com/paramarthasengupta,0,2,127,38,3 years ago
Sachin Sharma,1643,expert,https://www.kaggle.com/sachinsharma1123,0,2,127,38,3 years ago
Daniboy370,1644,expert,https://www.kaggle.com/daniboy370,0,3,146,38,3 years ago
Suyash Lakhani,1645,expert,https://www.kaggle.com/suyashlakhani,0,0,93,38,2 years ago
Maxim Kazantsev,1646,expert,https://www.kaggle.com/maximkazantsev,1,0,62,38,2 years ago
Sinan ÖZCERİT,1647,expert,https://www.kaggle.com/emresengul,0,0,91,38,2 years ago
