,Title,Total Views,Upload Time,Duration,Subtitles,Link
83,"Lamborghini Race, Winner Keeps Lamborghini",86M views,2 years ago,15:23,CC,https://www.youtube.com/watch?v=KSKJKLmAqpI
84,"First To Rob Bank Wins $100,000",85M views,1 year ago,8:02,CC,https://www.youtube.com/watch?v=cExLQ1o2pDw
85,Surviving 24 Hours Straight In A Rain Forest,84M views,3 years ago,13:09,CC,https://www.youtube.com/watch?v=d1010B3sKNQ
86,"$70,000 Extreme Hide And Seek - Challenge",84M views,2 years ago,18:41,CC,https://www.youtube.com/watch?v=_mdKvblL_8s
87,World's Hottest Substance Vs Coldest Substance,83M views,4 years ago,11:52,,https://www.youtube.com/watch?v=qrIh-ZHN4-E
88,"100 Girls Vs 100 Boys For $500,000",82M views,2 months ago,16:53,CC,https://www.youtube.com/watch?v=tVWWp1PqDus
89,"Extreme $500,000 Game Of Tag!",82M views,1 year ago,12:40,CC,https://www.youtube.com/watch?v=uocETPj4Jx4
90,"Last To Leave Circle Wins $10,000 - Challenge",80M views,4 years ago,16:36,,https://www.youtube.com/watch?v=Gz3yak1cl-8
91,"Last To Leave The Tesla, Keeps It Challenge",80M views,3 years ago,18:29,,https://www.youtube.com/watch?v=i2O6GMpNWGo
92,I Ran A Marathon In The World's Largest Shoes,79M views,2 years ago,14:59,CC,https://www.youtube.com/watch?v=AiGKBNGlzHo
93,Videos I Could Not Upload...,78M views,2 years ago,13:32,CC,https://www.youtube.com/watch?v=gsWPpE4Rid0
94,"Last To Take Hand Off Boat, Keeps It",78M views,2 years ago,16:48,CC,https://www.youtube.com/watch?v=Ims5p6wjW9s
95,Destroying My Friend's Car And Surprising Him With A New One,78M views,3 years ago,14:53,,https://www.youtube.com/watch?v=0DaMUhgcAqo
96,"Surprising My Girlfriend With 100,000 Roses For Valentines Day",78M views,2 years ago,13:08,CC,https://www.youtube.com/watch?v=i6OUv48w1bk
97,I Went Back To Boy Scouts For A Day,78M views,2 years ago,13:38,CC,https://www.youtube.com/watch?v=oI6aXhowFDY
98,I Uber’d People And Let Them Keep The Car,77M views,1 year ago,14:11,CC,https://www.youtube.com/watch?v=IoZri9hq7z4
99,"Would YOU Quit School For $100,000?",76M views,1 year ago,11:34,CC,https://www.youtube.com/watch?v=urtFrxDUV6c
100,"Last Youtuber To Leave Wins $100,000 - Challenge",76M views,3 years ago,24:39,,https://www.youtube.com/watch?v=71VpdDb8e6U
101,"Anything You Can Carry, I'll Pay For Challenge",76M views,3 years ago,15:09,,https://www.youtube.com/watch?v=tYHTVjfShOA
102,"I Spent $1,000,000 On Lottery Tickets and WON",74M views,2 years ago,15:10,CC,https://www.youtube.com/watch?v=5V2B28OqfqM
103,"Extreme $1,000,000 Hide And Seek",74M views,9 months ago,12:09,CC,https://www.youtube.com/watch?v=00NgUctWoLQ
104,"I Gave My 100,000,000th Subscriber An Island",74M views,2 months ago,15:31,CC,https://www.youtube.com/watch?v=2isYuQZMbdU
105,I Opened A FREE BANK,74M views,2 years ago,10:52,CC,https://www.youtube.com/watch?v=ORUX1lHbOa8
106,"Last To Remove Hand, Gets Lamborghini Challenge",73M views,3 years ago,19:47,,https://www.youtube.com/watch?v=nywT2SenPIo
107,"Last to Stop Swinging Wins $1,000,000 (Part 2)",70M views,2 years ago,13:03,CC,https://www.youtube.com/watch?v=RwnN2FVaHmw
108,"Planting 20,000,000 Trees, My Biggest Project Ever!",70M views,2 years ago,7:23,CC,https://www.youtube.com/watch?v=HPJKxAhLw5I
109,24 Hours In The Most Haunted Place On Earth,69M views,3 years ago,15:07,,https://www.youtube.com/watch?v=YyhKdOCwD7s
110,I Cleaned The World’s Dirtiest Beach #TeamSeas,69M views,11 months ago,4:55,CC,https://www.youtube.com/watch?v=cV2gBU6hKfY
111,Hi Me In 5 Years,69M views,2 years ago,2:08,CC,https://www.youtube.com/watch?v=AKJfakEsgy0
112,Standing Still For 24 Hours Straight - Statue Challenge,69M views,3 years ago,18:16,,https://www.youtube.com/watch?v=I046_n20d3s
113,I Gave A Homeless Man A Home,69M views,3 years ago,13:22,,https://www.youtube.com/watch?v=9cCpZl8euLI
114,I Built A Working Car Using Only LEGOS,68M views,4 years ago,12:30,,https://www.youtube.com/watch?v=XE9pUM9MEFA
115,"Surprising Tfue With $10,000 Live - Fortnite",68M views,4 years ago,15:23,,https://www.youtube.com/watch?v=GUWGsIVEMSQ
116,Giant Monopoly Game With Real Money,67M views,3 years ago,15:43,,https://www.youtube.com/watch?v=2nd73lyvq4w
117,"I Gave Him One Hour To Spend $100,000!",67M views,3 years ago,13:50,,https://www.youtube.com/watch?v=L8nh1wuXTbI
118,Molten Lava Vs Giant Ice Block Experiment,67M views,3 years ago,7:38,,https://www.youtube.com/watch?v=HfJMs4mrSJM
119,"Donating $100,000 To Streamers With 0 Viewers",66M views,3 years ago,14:37,,https://www.youtube.com/watch?v=Y6jC6VaO3j0
120,Can A Glowing 1000 Degree Sword Slice A Car In Half?,65M views,4 years ago,10:13,,https://www.youtube.com/watch?v=q0OK-zHnvnA
121,"Going Around A Ferris Wheel 1,000 Times Straight",63M views,2 years ago,12:56,CC,https://www.youtube.com/watch?v=LU_xVr4b2qM
122,"I Put 1,000,000 Christmas Lights On A House (World Record)",62M views,1 year ago,11:22,CC,https://www.youtube.com/watch?v=f0c7pSCoZqE
123,Last To Take Hand Off House Keeps It!,62M views,3 years ago,17:30,,https://www.youtube.com/watch?v=XaxhLbxZ13k
124,I Opened The World's First FREE Store,61M views,3 years ago,14:51,,https://www.youtube.com/watch?v=n6qc4LHN2KQ
125,"Youtube Rewind 2020, Thank God It's Over",61M views,1 year ago,6:31,CC,https://www.youtube.com/watch?v=PKtnafFtfEo
126,"I Donated $25,000 To Random Kids Streaming Fortnite",61M views,4 years ago,17:37,,https://www.youtube.com/watch?v=qAW6CE7_bFM
127,I Built A Giant House Using Only Legos,59M views,3 years ago,13:49,,https://www.youtube.com/watch?v=9vB-48kHbBU
128,"$1,000,000 Influencer Tournament!",59M views,9 months ago,12:05,CC,https://www.youtube.com/watch?v=x9TQ6culXIA
129,"Last To Leave Toilet Wins $1,000,000 (Part 3)",57M views,2 years ago,15:46,CC,https://www.youtube.com/watch?v=NbaWrbJDr48
130,I Survived A Plane Crash,56M views,1 month ago,8:14,CC,https://www.youtube.com/watch?v=jdMNoQE3mIQ
131,World's Largest Game Of Dodgeball,55M views,3 years ago,11:17,,https://www.youtube.com/watch?v=UtnsWzaoRtg
132,"$300,000 Influencer Trivia Tournament!",55M views,Streamed 1 year ago,24:05,CC,https://www.youtube.com/watch?v=1V_03efSkg0
133,Surprising Strangers With 100 Zombies - Experiment,55M views,3 years ago,12:01,,https://www.youtube.com/watch?v=iUzi5JmJNWc
