Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Buse Yıldırım,2204,expert,https://www.kaggle.com/buseyldrm,0,1,5,45,2 years ago
Samet Arda Erdogan,2205,expert,https://www.kaggle.com/sametardaerdogan,0,1,6,45,2 years ago
IshaDS,2206,expert,https://www.kaggle.com/ishadss,0,1,10,45,2 years ago
Michael Gwinn,2207,expert,https://www.kaggle.com/michaelgwinn,0,0,5,45,2 years ago
nima jehan,2208,expert,https://www.kaggle.com/nimajehan,0,0,9,45,2 years ago
ammaraahmad,2209,expert,https://www.kaggle.com/ammaraahmad,0,0,11,45,2 years ago
Sachin Sharma,2210,expert,https://www.kaggle.com/sachinudgam,0,0,7,45,a year ago
Bala Vashan,2211,expert,https://www.kaggle.com/balavashan,0,0,8,45,a year ago
gkitchen,2212,expert,https://www.kaggle.com/gkitchen,0,0,7,45,a year ago
Hasan Arcas,2213,expert,https://www.kaggle.com/hasanarcas,0,0,5,45,a year ago
20011912,2214,expert,https://www.kaggle.com/inyeongkang,0,0,6,45,a year ago
Faryar Memon,2215,expert,https://www.kaggle.com/faryarmemon,0,1,4,45,a year ago
Udit Sharma,2216,expert,https://www.kaggle.com/uditsharma72,0,0,6,45,a year ago
Dhinahar P,2217,expert,https://www.kaggle.com/dhinaharp,0,0,6,45,a year ago
Leandro Destefani,2218,expert,https://www.kaggle.com/leandrodestefani,0,0,7,45,a year ago
SOYOUNG PARK,2219,expert,https://www.kaggle.com/bell2psy,0,0,7,45,a year ago
Ahmad Al-Khateeb,2220,expert,https://www.kaggle.com/ahmadalkhateeb123,0,1,4,45,10 months ago
Oleg Panichev,2221,expert,https://www.kaggle.com/opanichev,3,4,12,44,8 years ago
alijs,2222,expert,https://www.kaggle.com/alijs1,1,6,4,44,6 years ago
Nilan,2223,expert,https://www.kaggle.com/nilanml,2,5,3,44,6 years ago
El Conde de Ñáñaño,2224,expert,https://www.kaggle.com/ottpocket,0,1,4,44,5 years ago
yuval reina,2225,expert,https://www.kaggle.com/yuval6967,1,4,0,44,5 years ago
KraLMachine,2226,expert,https://www.kaggle.com/kralmachine,3,2,4,44,5 years ago
"`,'- Vishal -`,'",2227,expert,https://www.kaggle.com/crashoverdrive,0,1,4,44,4 years ago
Vishnu U,2228,expert,https://www.kaggle.com/vishnu0399,0,0,7,44,4 years ago
Kirill,2229,expert,https://www.kaggle.com/kppetrov,0,2,6,44,4 years ago
Moiz Khan,2230,expert,https://www.kaggle.com/moizkhan11,0,0,7,44,3 years ago
Meghdad,2231,expert,https://www.kaggle.com/akmeghdad,0,0,8,44,3 years ago
hanieh ghaffari,2232,expert,https://www.kaggle.com/haniehghaffari,0,2,10,44,3 years ago
Harsh Walia,2233,expert,https://www.kaggle.com/harshwalia,0,0,8,44,3 years ago
Sparsh Gupta,2234,expert,https://www.kaggle.com/imsparsh,0,1,7,44,3 years ago
98hyun,2235,expert,https://www.kaggle.com/hwangchanghyun,0,0,8,44,3 years ago
Ahmed Ashraf Khalil,2236,expert,https://www.kaggle.com/ahmed121ashraf131,1,0,5,44,3 years ago
Farhan Hai Khan,2237,expert,https://www.kaggle.com/farhanhaikhan,0,0,8,44,3 years ago
Val Bauman,2238,expert,https://www.kaggle.com/valbauman,0,1,9,44,3 years ago
Saurav Joshi,2239,expert,https://www.kaggle.com/sauravjoshi23,0,4,4,44,2 years ago
GubanovDenis,2240,expert,https://www.kaggle.com/origent1,0,1,5,44,2 years ago
Jihen Belhoudi,2241,expert,https://www.kaggle.com/jihenbelhoudi,0,0,6,44,2 years ago
furu-nag,2242,expert,https://www.kaggle.com/kunihikofurugori,0,1,4,44,2 years ago
Sudip Ghosh,2243,expert,https://www.kaggle.com/sudipg411,0,1,7,44,2 years ago
Khaled Hamza,2244,expert,https://www.kaggle.com/kirasmith509,0,0,6,44,2 years ago
danb91,2245,expert,https://www.kaggle.com/danb91,0,0,5,44,2 years ago
Gaurav Malik,2246,expert,https://www.kaggle.com/gauravmalik26,0,0,5,44,2 years ago
Gaurang Thakur,2247,expert,https://www.kaggle.com/gaurangthakur,0,0,9,44,a year ago
Gaurav Lokhande,2248,expert,https://www.kaggle.com/gaurav126,0,1,5,44,a year ago
Sayan Saha,2249,expert,https://www.kaggle.com/sayansh001,0,0,5,44,a year ago
Gaurav Ramse,2250,expert,https://www.kaggle.com/ramsegaurav,0,1,7,44,a year ago
yalda jafari,2251,expert,https://www.kaggle.com/yaldajafari,0,3,3,44,a year ago
Astraz93,2252,expert,https://www.kaggle.com/astraz93,0,0,6,44,a year ago
Sagar Varandekar,2253,expert,https://www.kaggle.com/sagarvarandekar,0,0,5,44,a year ago
zahrahasanzadehh,2254,expert,https://www.kaggle.com/zahrahasanzadehh,0,1,5,44,a year ago
László Bebesi,2255,expert,https://www.kaggle.com/lszlbebesi,0,0,7,44,9 months ago
Vysakh M S,2256,expert,https://www.kaggle.com/vysakhvms,0,0,5,44,7 months ago
Rizqy Arya D,2257,expert,https://www.kaggle.com/rizqyad,0,0,7,44,5 months ago
Peter Hurford,2258,master,https://www.kaggle.com/peterhurford,3,9,5,43,8 years ago
Wojtek Rosinski,2259,expert,https://www.kaggle.com/wrosinski,2,1,12,43,7 years ago
sandy1112,2260,expert,https://www.kaggle.com/sandy1112,1,3,5,43,7 years ago
Sujata Roy,2261,expert,https://www.kaggle.com/sujataroy,0,0,5,43,5 years ago
Youri Matiounine,2262,expert,https://www.kaggle.com/ymatioun,1,2,5,43,5 years ago
Srinidhi,2263,expert,https://www.kaggle.com/ggsri123,0,0,11,43,4 years ago
samu2505,2264,expert,https://www.kaggle.com/samu2505,0,0,7,43,4 years ago
Jose Pérez Cano,2265,expert,https://www.kaggle.com/josepc,0,1,6,43,4 years ago
Neelima Jauhari,2266,expert,https://www.kaggle.com/nilimajauhari,0,5,6,43,4 years ago
Debjyoti Banerjee,2267,expert,https://www.kaggle.com/jl18pg052,0,0,13,43,3 years ago
Shivanand,2268,expert,https://www.kaggle.com/shivanandmn,1,1,5,43,3 years ago
arutema47,2269,expert,https://www.kaggle.com/kyoshioka47,0,5,1,43,3 years ago
Kamyar Azar,2270,expert,https://www.kaggle.com/kamyarazar,0,1,6,43,3 years ago
MEHMET KELEŞ,2271,expert,https://www.kaggle.com/mehmettt123,0,0,14,43,3 years ago
Aadhav Vignesh,2272,expert,https://www.kaggle.com/aadhavvignesh,1,0,7,43,3 years ago
Jędrzej Dudzicz,2273,expert,https://www.kaggle.com/jedrzejdudzicz,1,2,2,43,3 years ago
Atharv Chaudhari,2274,expert,https://www.kaggle.com/atharvchaudhari,0,2,5,43,3 years ago
shoku-pan,2275,expert,https://www.kaggle.com/yhirakawa,0,1,10,43,2 years ago
AshishSingh226,2276,expert,https://www.kaggle.com/ashishsingh226,0,0,9,43,2 years ago
